,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada’s Secondary Energy Use (Final Demand) and GHG Emissions by Energy Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total Growth 1990–2017,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Energy Use (PJ)a,b,c","6,957.2","6,844.1","6,942.3","7,066.6","7,334.3","7,547.1","7,678.7","7,799.7","7,615.0","7,801.5","8,090.5","7,848.2","8,111.7","8,291.5","8,525.7","8,464.8","8,338.9","8,745.0","8,604.9","8,343.0","8,493.7","8,837.1","8,806.7","9,008.7","9,134.4","9,113.7","8,884.6","9,089.5",30.6%,,
,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Still Gas and Petroleum Coke,17.0,16.7,18.4,19.2,19.5,23.7,22.7,22.3,21.5,21.3,21.1,23.3,23.9,24.0,28.4,27.2,28.7,29.8,26.5,28.8,28.9,28.6,30.2,29.1,28.6,29.4,29.2,30.0,76.3%,,
,Wood Waste and Pulping Liquor,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,27.0%,,
,Other3,23.3,24.6,25.1,23.6,23.9,25.4,24.6,24.7,23.8,24.4,25.4,25.0,23.4,23.6,23.5,23.6,25.3,25.6,25.8,21.5,24.4,25.9,27.0,22.4,22.2,21.3,21.9,22.7,-2.6%,,
,Residential Wood,5.18,5.11,4.89,5.11,5.21,4.97,4.92,4.72,5.03,4.82,4.69,4.37,4.77,4.14,4.07,3.87,3.79,3.81,3.87,3.75,4.02,4.06,4.11,4.08,4.06,4.02,4.04,4.02,-22.4%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total GHG Emissions Excluding Electricity (Mt of CO2e)a,b,c,d",318.5,309.4,313.7,320.0,329.2,339.1,351.8,354.8,346.7,354.9,368.1,358.2,365.8,377.4,387.7,384.6,380.1,403.7,397.3,385.9,398.1,415.9,416.8,423.1,426.0,425.0,416.1,427.0,34.1%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1)   ""Motor Gasoline"" includes ethanol. See transportation tables fo details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2)   “Oil” includes diesel fuel oil, light fuel oil, kerosene and heavy fuel oil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3)   “Other” includes coal, coke, coke oven gas, LPG and Gas Plant NGL, steam and waste fuels from the cement industry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a)   Statistics Canada, Report on Energy Supply and Demand in Canada, 1990–2017, Ottawa, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b)   Natural Resources Canada, Residential End-Use Model, Ottawa, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c)   The Canadian Energy and Emissions Data Centre, Simon Fraser University, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d)   Environment and Climate Change Canada, National Inventory Report 1990-2017: Greenhouse Gas Sources and Sinks in Canada, Ottawa, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
